# source_id	kind	status	crystal_refs	notes
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/ColorBarCellRenderer.java::method::ColorBarCellRenderer.getTableCellRendererComponent	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNColorant.java::class::DeviceNColorant	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNColorant.java::method::DeviceNColorant.getMaximum	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNColorant.java::method::DeviceNColorant.getMinimum	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNColorant.java::method::DeviceNColorant.getName	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNColorant.java::method::DeviceNColorant.setMaximum	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNColorant.java::method::DeviceNColorant.setMinimum	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNColorant.java::method::DeviceNColorant.setName	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNTableModel.java::class::DeviceNTableModel	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNTableModel.java::method::DeviceNTableModel.getColumnClass	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNTableModel.java::method::DeviceNTableModel.getColumnCount	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNTableModel.java::method::DeviceNTableModel.getColumnName	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNTableModel.java::method::DeviceNTableModel.getRowCount	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNTableModel.java::method::DeviceNTableModel.getValueAt	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedColorant.java::class::IndexedColorant	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedColorant.java::method::IndexedColorant.getColor	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedColorant.java::method::IndexedColorant.getIndex	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedColorant.java::method::IndexedColorant.getRGBValuesString	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedColorant.java::method::IndexedColorant.setIndex	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedColorant.java::method::IndexedColorant.setRgbValues	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedTableModel.java::class::IndexedTableModel	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedTableModel.java::method::IndexedTableModel.getColumnClass	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedTableModel.java::method::IndexedTableModel.getColumnCount	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedTableModel.java::method::IndexedTableModel.getColumnName	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedTableModel.java::method::IndexedTableModel.getRowCount	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/IndexedTableModel.java::method::IndexedTableModel.getValueAt	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/EncryptFlag.java::class::EncryptFlag	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FlagBitsPane.java::class::FlagBitsPane	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FlagBitsPane.java::method::FlagBitsPane.getPane	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FontFlag.java::class::FontFlag	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/PanoseFlag.java::class::PanoseFlag	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/PanoseFlag.java::method::PanoseFlag.getPanoseBytes	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/SigFlag.java::class::SigFlag	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingPaneController.java::class::FontEncodingPaneController	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingPaneController.java::method::FontEncodingPaneController.getPane	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingView.java::func::getTableCellRendererComponent	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/SimpleFont.java::const::NO_GLYPH	const	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/SimpleFont.java::func::getPanel	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/Type0Font.java::const::NO_GLYPH	const	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/Type0Font.java::func::getPanel	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/Type3Font.java::const::NO_GLYPH	const	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/Type3Font.java::func::getPanel	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/ASCIIPane.java::func::hexModelChanged	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexChangedEvent.java::func::getByteIndex	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexChangedEvent.java::func::getNewValue	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexEditor.java::func::actionPerformed	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexEditor.java::func::selectionChanged	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::addHexModelChangeListener	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::elementIndexInLine	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::getByte	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::getBytesForLine	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::getLineChars	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::hexChanged	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::lineNumber	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::size	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::totalLine	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexModel.java::func::updateModel	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::addHexChangeListeners	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::addSelectionChangeListener	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::hexModelChanged	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::keyPressed	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::keyReleased	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::keyTyped	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::mouseClicked	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::mouseDragged	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::mouseEntered	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::mouseExited	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::mouseMoved	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::mousePressed	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::mouseReleased	func	missing	-	auto-generated
